game_title,metacritic_url,metascore,platform,release_date,developer,publisher,genres,steam_url,price,discount,steam_review_summary,steam_review_count,steam_release_date,steam_developer,steam_publisher,steam_tags,match_confidence,is_matched,combined_score,steam_review_score
Disco Elysium: The Final Cut,https://www.metacritic.com/game/disco-elysium-the-final-cut/,97,PC,2021-03-30,,,Western RPG,https://store.steampowered.com/app/632470,P829.95,0%,Very Positive,971,2019-10-15,ZA/UM,,"RPG, Story Rich, Choices Matter, Detective, Isometric, Atmospheric, Singleplayer, Point & Click, CRPG, Noir, Political, Surreal, Visual Novel, Exploration, Funny, Indie, Adventure, Open World, Character Customization, Sexual Content",0.9473684210526315,True,,
Half-Life 2,https://www.metacritic.com/game/half-life-2/,96,PC,2004-11-16,Valve Software,VU Games,FPS,https://store.steampowered.com/app/220,P335.00,0%,Overwhelmingly Positive,"1,377",2004-11-16,Valve,,"FPS, Action, Sci-fi, Classic, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian, Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Horror, Multiplayer, Puzzle, Moddable",0.8578947368421053,True,,
Half-Life,https://www.metacritic.com/game/half-life/,96,PC,1998-11-19,Valve Software,Sierra Entertainment,FPS,https://store.steampowered.com/app/220,P335.00,0%,Overwhelmingly Positive,"1,377",2004-11-16,Valve,,"FPS, Action, Sci-fi, Classic, Singleplayer, Story Rich, Shooter, First-Person, Adventure, Dystopian, Atmospheric, Zombies, Silent Protagonist, Physics, Aliens, Great Soundtrack, Horror, Multiplayer, Puzzle, Moddable",0.7878947368421052,True,,
Persona 5 Royal,https://www.metacritic.com/game/persona-5-royal/,95,PC,2022-10-21,Atlus,Atlus,JRPG,https://store.steampowered.com/app/1687950,"P3,195.00",0%,Very Positive,"1,528",2022-10-20,ATLUS,SEGA,"JRPG, Story Rich, Great Soundtrack, Turn-Based Combat, Anime, RPG, Singleplayer, Dating Sim, Party-Based RPG, Multiple Endings, Turn-Based Strategy, Emotional, Visual Novel, Sexual Content, Colorful, Adventure, Heist, Soundtrack, Detective, Violent",1.0,True,,
Sid Meier's Civilization II,https://www.metacritic.com/game/sid-meiers-civilization-ii/,94,PC,1996-02-29,,MicroProse,4X Strategy,https://store.steampowered.com/app/1295660,"P2,920.00",0%,Mixed,"1,199",2025-02-10,Firaxis Games,2K,"Grand Strategy, Historical, 4X, Diplomacy, Military, Simulation, Multiplayer, Economy, War, Strategy, Turn-Based Tactics, City Builder, Tactical, Alternate History, Singleplayer, Hex Grid, Political Sim, Stylized, Turn-Based Strategy, PvP",0.9818181818181818,True,,
The Elder Scrolls IV: Oblivion,https://www.metacritic.com/game/the-elder-scrolls-iv-oblivion/,94,PC,2006-03-20,Bethesda Game Studios,2K Games,Western RPG,https://store.steampowered.com/app/22320,P499.95,0%,Overwhelmingly Positive,303,2002-04-29,Bethesda Game Studios,Bethesda Softworks,"RPG, Open World, Fantasy, Classic, Great Soundtrack, Moddable, Singleplayer, First-Person, Adventure, Cult Classic, Atmospheric, Magic, Exploration, Story Rich, Sandbox, Character Customization, Action RPG, Medieval, Action, Third Person",0.7136363636363636,True,,
Sid Meier's Civilization IV,https://www.metacritic.com/game/sid-meiers-civilization-iv/,94,PC,2005-10-25,Firaxis Games,2K Games,4X Strategy,https://store.steampowered.com/app/3900,P499.95,-80%,Very Positive,20,2005-10-25,Firaxis Games,2K,"Strategy, Turn-Based Strategy, Turn-Based, 4X, Historical, Multiplayer, Singleplayer, Moddable, Grand Strategy, Classic, Addictive, Replay Value, Simulation, Resource Management, War, Great Soundtrack, Economy, Tactical, Management, Local Multiplayer",0.9872727272727273,True,,
Half-Life: Alyx,https://www.metacritic.com/game/half-life-alyx/,93,PC,2020-03-23,Valve Software,Valve Software,FPS,https://store.steampowered.com/app/546560,"P1,670.00",0%,Overwhelmingly Positive,405,2020-03-23,Valve,,"VR, FPS, Story Rich, Horror, Female Protagonist, Shooter, Singleplayer, First-Person, Action, Sci-fi, Atmospheric, Zombies, Beautiful, Aliens, Adventure, Futuristic, Psychological Horror, Memes, Great Soundtrack, Gore",0.8578947368421053,True,,
Divinity: Original Sin II,https://www.metacritic.com/game/divinity-original-sin-ii/,93,PC,2017-09-14,Larian Studios Games,Larian Studios Games,Western RPG,https://store.steampowered.com/app/435150,"P1,239.95",0%,Very Positive,660,2017-09-14,Larian Studios,,"Tactical RPG, RPG, Turn-Based Strategy, Story Rich, Fantasy, Character Customization, CRPG, Exploration, Party-Based RPG, Strategy RPG, PvP, Female Protagonist, Co-op Campaign, Local Co-Op, Choices Matter, Isometric, Romance, Strategy, Moddable, Funny",0.7470588235294118,True,,
Red Dead Redemption 2,https://www.metacritic.com/game/red-dead-redemption-2/,93,PC,2019-11-05,Rockstar Games,Rockstar Games,Open-World Action,https://store.steampowered.com/app/1174180,P849.75,-75%,Very Positive,"10,703",2019-12-05,Rockstar Games,,"Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS",1.0,True,,
